SPECIES,LATITUDE,LONGITUDE
M.nattereri,52.0,5.7
M.nattereri,52.1,5.15
M.nattereri,52.15,5.9
M.nattereri,52.1,5.85
M.nattereri,53.2,6.55
M.nattereri,50.85,5.8
M.nattereri,52.05,6.0
M.nattereri,51.95,5.8
M.nattereri,51.25,4.05
M.nattereri,51.25,4.05
M.nattereri,52.25,6.15
M.nattereri,51.8,5.65
M.nattereri,51.8,5.65
M.nattereri,52.65,4.65
M.nattereri,52.0,5.7
M.nattereri,52.2,6.3
M.nattereri,50.8,5.65
M.nattereri,52.0,6.45
M.nattereri,50.85,5.75
M.nattereri,51.05,5.8
M.nattereri,50.8,5.65
M.nattereri,52.0,6.45
M.nattereri,52.25,5.1
M.nattereri,50.8,5.65
M.nattereri,52.3,6.1
M.nattereri,51.95,5.75
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.35
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,52.0,5.4
M.nattereri,50.85,5.8
M.nattereri,52.0,6.45
M.nattereri,50.75,5.9
M.nattereri,50.75,5.95
M.nattereri,50.75,5.95
M.nattereri,50.75,5.95
M.nattereri,52.15,6.75
M.nattereri,52.15,6.75
M.nattereri,52.25,6.7
M.nattereri,52.25,6.85
M.nattereri,51.55,5.0
M.nattereri,51.3,5.75
M.nattereri,52.65,6.0
M.nattereri,52.0,6.45
M.nattereri,50.8,5.65
M.nattereri,51.15,6.1
M.nattereri,51.15,6.1
M.nattereri,50.8,5.7
M.nattereri,52.85,7.05
M.nattereri,52.85,7.05
M.nattereri,52.0,6.45
M.nattereri,52.05,5.7
M.nattereri,52.65,6.55
M.nattereri,52.25,6.15
M.nattereri,49.8,6.32
M.nattereri,49.48,5.98
M.nattereri,49.52,6.26
M.nattereri,49.81,6.48
M.nattereri,49.47,6.11
M.nattereri,49.62,5.92
M.nattereri,49.62,5.92
M.nattereri,49.62,5.92
M.nattereri,49.62,5.92
M.nattereri,49.56,6.24
M.nattereri,49.66,6.02
M.nattereri,49.56,6.24
M.nattereri,49.64,5.94
M.nattereri,49.64,5.95
M.nattereri,49.64,5.95
M.nattereri,50.16,6.03
M.nattereri,50.04,6.1
M.nattereri,49.64,5.94
M.nattereri,50.01,6.01
M.nattereri,49.97,6.11
M.nattereri,50.15,6.04
M.nattereri,49.94,6.12
M.nattereri,49.96,5.78
M.nattereri,49.94,5.79
M.nattereri,50.06,5.91
M.nattereri,50.04,6.1
M.nattereri,49.67,6.42
M.nattereri,49.92,5.78
M.nattereri,49.96,5.97
M.nattereri,49.85,6.21
M.nattereri,49.89,6.13
M.nattereri,49.64,6.18
M.nattereri,50.16,6.03
M.nattereri,49.89,6.12
M.nattereri,49.68,6.24
M.nattereri,49.47,6.01
M.nattereri,49.45,5.99
M.nattereri,49.65,6.2
M.nattereri,49.46,6.0
M.nattereri,49.46,5.99
M.nattereri,49.45,5.98
M.nattereri,49.45,5.98
M.nattereri,50.16,6.03
M.nattereri,49.46,5.98
M.nattereri,49.89,6.13
M.nattereri,50.16,6.03
M.nattereri,49.46,6.0
M.nattereri,49.47,6.01
M.nattereri,49.48,6.0
M.nattereri,49.92,5.96
M.nattereri,50.0,5.82
M.nattereri,49.8,6.32
M.nattereri,49.72,6.1
M.nattereri,49.72,6.09
M.nattereri,49.71,6.08
M.nattereri,49.7,5.9
M.nattereri,49.91,6.14
M.nattereri,50.16,6.03
M.nattereri,49.91,6.14
M.nattereri,49.92,5.78
M.nattereri,49.97,6.16
M.nattereri,49.87,6.23
M.nattereri,49.72,6.1
M.nattereri,49.75,6.23
M.nattereri,49.66,5.88
M.nattereri,50.16,6.03
M.nattereri,49.8,6.32
M.nattereri,49.8,6.32
M.nattereri,49.8,6.32
M.nattereri,49.69,6.09
M.nattereri,49.8,6.32
M.nattereri,49.53,6.21
M.nattereri,49.47,6.0
M.nattereri,49.47,6.0
M.nattereri,49.47,6.0
M.nattereri,49.53,5.85
M.nattereri,49.54,6.36
M.nattereri,49.54,6.2
M.nattereri,49.79,6.31
M.nattereri,49.6,6.0
M.nattereri,49.79,6.31
M.nattereri,49.72,6.09
M.nattereri,49.72,6.09
M.nattereri,49.72,6.09
M.nattereri,49.72,6.09
M.nattereri,49.42,6.6
M.nattereri,49.09,6.04
M.nattereri,49.09,6.04
M.nattereri,47.96,6.7
M.nattereri,49.09,6.04
M.nattereri,49.11,6.67
M.nattereri,49.11,6.67
M.nattereri,49.02,6.04
M.nattereri,47.96,6.7
M.nattereri,49.09,6.04
M.nattereri,49.15,6.14
M.nattereri,49.11,6.67
M.nattereri,49.11,6.67
M.nattereri,49.11,6.67
M.nattereri,49.11,6.67
M.nattereri,49.12,6.11
M.nattereri,49.12,6.11
M.nattereri,49.12,6.11
M.nattereri,49.09,6.04
M.nattereri,49.09,6.04
M.nattereri,49.09,6.04
M.nattereri,49.12,6.11
M.nattereri,49.11,6.67
M.nattereri,49.12,6.11
M.nattereri,49.02,6.04
M.nattereri,49.11,6.65
M.nattereri,49.11,6.65
M.nattereri,49.08,6.25
M.nattereri,49.08,6.25
M.nattereri,49.02,6.04
M.nattereri,49.11,6.67
M.nattereri,49.11,6.67
M.nattereri,49.11,6.67
M.nattereri,48.98,7.52
M.nattereri,48.8,6.78
M.nattereri,48.8,6.78
M.nattereri,49.08,6.25
M.nattereri,48.8,6.78
M.nattereri,48.8,6.78
M.nattereri,49.11,6.67
M.nattereri,48.98,7.52
M.nattereri,48.8,6.78
M.nattereri,48.98,7.52
M.nattereri,48.98,7.52
M.nattereri,48.98,7.52
M.nattereri,49.07,6.05
M.nattereri,48.8,6.78
M.nattereri,49.21,5.07
M.nattereri,48.8,6.78
M.nattereri,48.98,7.52
M.nattereri,49.07,6.05
M.nattereri,49.07,6.05
M.nattereri,49.07,6.05
M.nattereri,48.98,7.52
M.nattereri,48.98,7.52
M.nattereri,49.07,6.05
M.nattereri,48.98,7.52
M.nattereri,48.99,5.49
M.nattereri,48.8,6.78
M.nattereri,49.07,6.05
M.nattereri,48.99,5.49
M.nattereri,48.98,7.52
M.nattereri,49.07,6.05
M.nattereri,48.9,5.53
M.nattereri,48.99,5.49
M.nattereri,49.07,6.05
M.nattereri,48.9,5.53
M.nattereri,48.9,5.53
M.nattereri,48.99,5.49
M.nattereri,48.9,5.53
M.nattereri,48.9,5.53
M.nattereri,48.9,5.53
M.nattereri,48.9,5.53
M.nattereri,48.88,5.54
M.nattereri,49.05,5.61
M.nattereri,49.17,5.49
M.nattereri,48.9,5.53
M.nattereri,48.63,5.45
M.nattereri,48.83,5.62
M.nattereri,48.89,5.56
M.nattereri,49.19,5.3
M.nattereri,48.9,5.12
M.nattereri,48.72,5.95
M.nattereri,48.95,5.64
M.nattereri,48.86,5.64
M.nattereri,48.86,5.64
M.nattereri,48.75,5.99
M.nattereri,48.9,6.06
M.nattereri,48.69,5.88
M.nattereri,48.89,6.23
M.nattereri,48.64,5.94
M.nattereri,48.7,5.96
M.nattereri,48.89,6.23
M.nattereri,48.84,6.0
M.nattereri,48.7,5.96
M.nattereri,48.7,5.96
M.nattereri,48.93,4.48
M.nattereri,48.47,6.18
M.nattereri,48.95,5.84
M.nattereri,48.85,5.79
M.nattereri,49.58,6.33
M.nattereri,49.79,6.31
M.nattereri,41.34766,-7.278188
M.nattereri,41.412559,-7.136914
M.nattereri,41.412559,-7.136914
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.356586,-7.248794
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.356586,-7.248794
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.34766,-7.278188
M.nattereri,41.34766,-7.278188
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.395761,-7.1147149999999995
M.nattereri,41.444303000000005,-7.128316000000001
M.nattereri,41.395761,-7.1147149999999995
