SPECIES,LATITUDE,LONGITUDE
"Myotis nattereri (Kuhl 1817)",52.0,5.7
"Myotis nattereri (Kuhl 1817)",52.1,5.15
"Myotis nattereri (Kuhl 1817)",52.15,5.9
"Myotis nattereri (Kuhl 1817)",52.1,5.85
"Myotis nattereri (Kuhl 1817)",53.2,6.55
"Myotis nattereri (Kuhl 1817)",50.85,5.8
"Myotis nattereri (Kuhl 1817)",52.05,6.0
"Myotis nattereri (Kuhl 1817)",51.95,5.8
"Myotis nattereri (Kuhl 1817)",51.25,4.05
"Myotis nattereri (Kuhl 1817)",52.25,6.15
"Myotis nattereri (Kuhl 1817)",51.8,5.65
"Myotis nattereri (Kuhl 1817)",52.65,4.65
"Myotis nattereri (Kuhl 1817)",52.2,6.3
"Myotis nattereri (Kuhl 1817)",50.8,5.65
"Myotis nattereri (Kuhl 1817)",52.0,6.45
"Myotis nattereri (Kuhl 1817)",50.85,5.75
"Myotis nattereri (Kuhl 1817)",51.05,5.8
"Myotis nattereri (Kuhl 1817)",52.25,5.1
"Myotis nattereri (Kuhl 1817)",52.3,6.1
"Myotis nattereri (Kuhl 1817)",51.95,5.75
"Myotis nattereri (Kuhl 1817)",52.0,5.4
"Myotis nattereri (Kuhl 1817)",52.0,5.35
"Myotis nattereri (Kuhl 1817)",50.75,5.9
"Myotis nattereri (Kuhl 1817)",50.75,5.95
"Myotis nattereri (Kuhl 1817)",52.15,6.75
"Myotis nattereri (Kuhl 1817)",52.25,6.7
"Myotis nattereri (Kuhl 1817)",52.25,6.85
"Myotis nattereri (Kuhl 1817)",51.55,5.0
"Myotis nattereri (Kuhl 1817)",51.3,5.75
"Myotis nattereri (Kuhl 1817)",52.65,6.0
"Myotis nattereri (Kuhl 1817)",51.15,6.1
"Myotis nattereri (Kuhl 1817)",50.8,5.7
"Myotis nattereri (Kuhl 1817)",52.85,7.05
"Myotis nattereri (Kuhl 1817)",52.05,5.7
"Myotis nattereri (Kuhl 1817)",52.65,6.55
"Myotis nattereri (Kuhl 1817)",49.8,6.32
"Myotis nattereri (Kuhl 1817)",49.48,5.98
"Myotis nattereri (Kuhl 1817)",49.52,6.26
"Myotis nattereri (Kuhl 1817)",49.81,6.48
"Myotis nattereri (Kuhl 1817)",49.47,6.11
